micnum,stmon,stday,styear,endmon,endday,endyear,fatalmin,fatalmax,hiact,hostlev,outcome,numa,numb,version
4193,10,10,1997,7,29,1998,0,0,17,4,5,1,1,mic-1.0
4197,11,-9,2000,11,-9,2000,0,0,8,3,5,1,2,mic-1.0
4201,9,24,1999,3,27,2001,3,27,17,4,5,2,1,mic-1.0
4203,6,-9,1997,8,4,1998,5,5,17,4,8,1,1,mic-1.0
4205,9,29,1997,11,8,1997,0,0,16,4,5,1,1,mic-1.0
4206,9,5,1996,2,17,1999,0,0,16,4,5,1,1,mic-1.0
4208,9,29,1999,10,-9,1999,0,0,14,4,5,1,1,mic-1.0
4210,2,9,2000,1,31,2001,0,0,7,3,5,1,1,mic-1.0
4212,11,17,1999,3,14,2001,0,0,12,3,5,1,1,mic-1.0
4215,1,11,1999,1,11,1999,0,0,8,3,5,1,1,mic-1.0
4216,10,3,1997,10,3,1997,0,0,7,3,4,1,1,mic-1.0
4217,8,20,1998,8,20,1998,0,0,16,4,5,1,1,mic-1.0
4218,3,23,2000,3,23,2000,0,0,1,2,5,1,2,mic-1.0
4220,10,17,2000,11,9,2000,0,0,7,3,5,1,1,mic-1.0
4221,6,18,2000,9,11,2000,1,1,17,4,5,1,2,mic-1.0
4223,7,18,1999,10,28,2000,74,127,17,4,5,1,1,mic-1.0
4224,11,8,1993,11,8,1993,0,0,1,2,5,1,1,mic-1.0
4226,9,-9,1997,9,-9,1997,0,0,7,3,5,1,1,mic-1.0
4227,8,20,1998,8,20,1998,0,0,16,4,5,1,1,mic-1.0
4228,8,11,1998,8,-9,1998,0,0,11,3,5,3,1,mic-1.0
4229,8,8,2000,8,8,2000,0,0,11,3,5,1,1,mic-1.0
4230,6,27,1997,6,27,1997,0,0,8,3,5,1,1,mic-1.0
4232,4,3,2000,4,27,2000,0,0,16,4,5,1,1,mic-1.0
4235,2,5,2001,2,5,2001,0,0,16,4,5,1,1,mic-1.0
4236,12,12,2001,12,12,2001,0,0,4,2,5,1,1,mic-1.0
4238,2,14,2001,2,19,2001,0,0,7,3,5,1,1,mic-1.0
4239,2,14,2001,4,11,2001,0,0,7,3,5,1,1,mic-1.0
4240,8,30,2001,9,-9,2001,0,0,7,3,5,1,1,mic-1.0
4242,10,18,2001,9,27,2003,0,0,16,4,5,1,1,mic-1.0
4244,5,8,1997,5,-9,1997,0,0,11,3,5,1,1,mic-1.0
4245,10,8,1997,10,8,1997,0,0,16,4,5,1,1,mic-1.0
4246,10,11,1997,10,15,1997,52,200,17,4,1,1,1,mic-1.0
4248,9,28,1998,8,4,1999,0,0,16,4,5,1,1,mic-1.0
4249,2,16,1997,2,-9,1997,0,0,11,3,5,1,1,mic-1.0
4250,3,1,1998,9,8,1998,13,37,17,4,5,1,1,mic-1.0
4251,5,27,1997,3,10,1998,58,227,17,4,1,3,1,mic-1.0
4252,8,14,1999,8,18,1999,502,1000,17,4,5,1,1,mic-1.0
4253,5,5,2000,6,11,2000,52,200,17,4,5,1,1,mic-1.0
4254,9,-9,1998,9,-9,1998,0,0,7,3,8,1,1,mic-1.0
4255,2,-9,1998,2,-9,1998,0,0,12,3,8,1,1,mic-1.0
4256,4,9,1999,4,-9,1999,0,0,11,3,8,2,1,mic-1.0
4257,7,-9,2000,5,27,2001,1,1,16,4,5,1,1,mic-1.0
4258,5,6,1998,6,18,2000,58028,94760,22,5,6,1,1,mic-1.0
4259,2,-9,2001,3,16,2001,0,0,11,3,6,1,1,mic-1.0
4260,10,3,1999,10,6,1999,0,0,12,3,5,1,1,mic-1.0
4261,10,12,2000,10,21,2000,0,0,12,3,5,1,1,mic-1.0
4262,10,13,2000,11,23,2000,0,0,16,4,5,1,1,mic-1.0
4266,12,22,2001,12,22,2001,1,25,17,4,5,1,1,mic-1.0
4269,8,2,1994,9,22,1995,0,0,11,3,5,7,1,mic-1.0
4271,8,30,1996,11,4,1996,1,25,16,4,4,3,1,mic-1.0
4272,10,-9,1996,3,2,1997,0,0,17,4,5,1,1,mic-1.0
4273,10,7,1997,5,1,2003,3604,6336,22,5,1,19,1,mic-1.0
4275,8,10,2000,8,10,2000,0,0,10,3,5,1,1,mic-1.0
4277,7,13,2001,11,22,2003,21,357,17,4,3,1,1,mic-1.0
4278,4,17,2001,4,17,2001,0,0,7,3,5,1,1,mic-1.0
4279,5,-9,2001,5,-9,2001,0,0,7,3,5,1,1,mic-1.0
4280,3,23,2001,7,3,2001,1,1,16,4,7,1,1,mic-1.0
4281,3,27,2001,8,-9,2001,0,0,7,3,5,1,2,mic-1.0
4282,6,2,2001,11,10,2004,17,17,17,4,5,1,1,mic-1.0
4283,9,15,2001,12,17,2001,5423,7484,22,5,1,15,1,mic-1.0
4284,12,21,2001,8,27,2002,26,26,17,4,5,1,1,mic-1.0
4288,3,-9,1996,3,-9,1996,1,25,16,4,5,1,1,mic-1.0
4290,8,24,2001,8,24,2001,0,0,7,3,5,1,1,mic-1.0
4291,10,1,1998,10,20,1998,0,0,7,3,1,1,1,mic-1.0
4293,6,27,1995,6,27,1995,0,0,8,3,5,1,1,mic-1.0
4295,8,1,2000,10,6,2000,0,0,15,4,7,1,2,mic-1.0
