micnum,ccode,stmon,stday,styear,endmon,endday,endyear,sidea,fatalmin,fatalmax,hiact,hostlev,orig,version
25,220,8,10,1831,8,15,1831,0,0,0,7,3,0,mic-1.0
26,2,3,21,1948,7,25,1949,0,0,0,7,3,1,mic-1.0
26,200,3,21,1948,7,25,1949,0,0,0,7,3,1,mic-1.0
26,220,3,21,1948,7,25,1949,0,0,0,0,1,1,mic-1.0
26,365,3,21,1948,7,25,1949,1,0,0,16,4,1,mic-1.0
27,315,10,17,1961,10,17,1961,0,0,0,7,3,0,mic-1.0
27,290,10,17,1961,10,17,1961,0,0,0,7,3,0,mic-1.0
27,200,8,23,1961,10,17,1961,1,0,0,7,3,0,mic-1.0
27,220,8,23,1961,10,17,1961,1,0,0,7,3,0,mic-1.0
27,2,7,15,1961,2,14,1962,1,0,0,10,3,1,mic-1.0
27,265,7,15,1961,10,3,1962,0,2,2,17,4,1,mic-1.0
27,365,7,15,1961,2,14,1962,0,0,0,16,4,1,mic-1.0
27,260,8,13,1961,10,3,1962,1,0,0,17,4,0,mic-1.0
28,220,7,17,1961,9,29,1961,0,12,27,17,4,1,mic-1.0
28,616,7,17,1961,9,29,1961,1,34,82,17,4,1,mic-1.0
30,300,10,6,1908,3,31,1909,1,0,0,14,4,1,mic-1.0
30,345,10,6,1908,3,31,1909,0,0,0,10,3,1,mic-1.0
31,300,5,30,1900,2,10,1901,1,1,10,22,5,1,mic-1.0
31,325,5,30,1900,2,10,1901,1,1,10,22,5,1,mic-1.0
31,255,5,30,1900,2,10,1901,1,16,40,22,5,1,mic-1.0
31,2,5,30,1900,2,10,1901,1,107,134,22,5,1,mic-1.0
31,200,5,30,1900,2,10,1901,1,54,82,22,5,1,mic-1.0
31,220,5,30,1900,2,10,1901,1,11,25,22,5,1,mic-1.0
31,365,5,30,1900,2,10,1901,1,33,57,22,5,1,mic-1.0
31,740,5,30,1900,2,10,1901,1,141,220,22,5,1,mic-1.0
31,710,5,30,1900,2,10,1901,0,1929,3530,22,5,1,mic-1.0
38,2,12,29,1837,1,5,1838,0,0,0,7,3,1,mic-1.0
38,200,12,29,1837,1,5,1838,1,0,0,16,4,1,mic-1.0
40,740,4,20,1928,3,28,1929,1,15,30,17,4,1,mic-1.0
40,710,4,20,1928,3,28,1929,0,76,275,17,4,1,mic-1.0
41,365,5,27,1929,12,22,1929,0,1030,2005,22,5,1,mic-1.0
41,710,5,27,1929,12,22,1929,1,3062,5002,22,5,1,mic-1.0
43,255,11,13,1897,3,6,1898,1,0,0,16,4,1,mic-1.0
43,710,11,13,1897,3,6,1898,0,0,0,0,1,1,mic-1.0
50,2,6,12,1957,6,12,1957,0,0,0,7,3,0,mic-1.0
50,710,3,5,1950,6,12,1957,1,8079,12630,22,5,1,mic-1.0
50,713,3,5,1950,6,12,1957,0,3246,11091,22,5,1,mic-1.0
50,2,2,9,1953,2,15,1953,0,0,0,16,4,0,mic-1.0
50,2,6,27,1950,6,27,1950,0,0,0,7,3,0,mic-1.0
50,2,11,-9,1951,11,-9,1951,0,0,0,7,3,0,mic-1.0
50,2,6,8,1952,6,8,1952,0,0,0,1,2,0,mic-1.0
51,920,7,29,1950,7,27,1953,0,35,35,22,5,0,mic-1.0
51,840,9,19,1950,7,27,1953,0,87,164,22,5,0,mic-1.0
51,210,1,2,1951,7,27,1953,0,80,182,22,5,0,mic-1.0
51,350,12,9,1950,7,27,1953,0,100,204,22,5,0,mic-1.0
51,211,2,1,1951,7,27,1953,0,104,104,22,5,0,mic-1.0
51,100,6,15,1951,7,27,1953,0,235,263,22,5,0,mic-1.0
51,800,11,7,1950,7,27,1953,0,57,134,22,5,0,mic-1.0
51,530,5,6,1951,7,27,1953,0,52,165,22,5,0,mic-1.0
51,20,8,31,1950,7,27,1953,0,964,1237,22,5,0,mic-1.0
51,220,11,29,1950,7,27,1953,0,251,394,22,5,0,mic-1.0
51,900,7,7,1950,7,27,1953,0,802,1052,22,5,0,mic-1.0
51,640,10,17,1950,7,27,1953,0,608,1090,22,5,0,mic-1.0
51,200,7,8,1950,7,27,1953,0,1008,1026,22,5,0,mic-1.0
51,710,10,17,1950,7,27,1953,1,198128,382856,22,5,0,mic-1.0
51,732,6,25,1950,7,25,1953,0,109824,153531,22,5,1,mic-1.0
